#	Frame	FaceNum	FEV		X	Y	ROC	Time
	1657	0	732.575340	314	196	0.418821	60.574117098
	1658	0	731.767152	314	196	0.419374	60.603261698
	1659	0	731.092281	314	196	0.419376	60.628881564
	1660	0	732.841173	314	196	0.417264	60.664598233
	1661	0	731.639664	314	196	0.417391	60.701014809
	1662	0	731.471513	314	196	0.418145	60.738017622
	1663	0	730.129879	314	196	0.420158	60.768038166
	1664	0	728.132593	314	196	0.421269	60.795990286
	1665	0	728.528754	314	196	0.421030	60.839816986
	1666	0	728.972767	314	196	0.421128	60.868064268
	1667	0	738.235377	314	196	0.417142	60.911964611
	1668	0	739.251392	314	196	0.417199	60.941784145
	1669	0	740.903318	314	196	0.415815	60.976708497
	1670	0	739.317133	314	196	0.416013	61.012024318
	1671	0	738.060115	314	196	0.415979	61.039424823
	1672	0	737.041563	314	196	0.416843	61.065753659
	1673	0	735.036902	314	196	0.417737	61.110742230
	1674	0	734.834659	314	196	0.418101	61.146675423
	1675	0	735.732760	314	196	0.417563	61.180751043
	1676	0	735.154784	314	196	0.417907	61.212582572
	1677	0	736.137269	314	196	0.417486	61.253330199
	1678	0	736.029830	314	196	0.417963	61.279356915
	1679	0	736.268331	314	196	0.417790	61.310321352
	1680	0	735.640495	314	196	0.418664	61.339428159
	1681	0	737.562825	314	196	0.417954	61.383099587
	1682	0	738.037120	314	196	0.417796	61.416375551
	1683	0	736.513836	314	196	0.416600	61.450126657
	1684	0	735.312640	314	196	0.416640	61.482580876
	1685	0	735.874416	314	196	0.417711	61.511863290
	1686	0	733.449332	314	196	0.417087	61.543799233
	1687	0	736.206588	314	196	0.414993	61.581808320
	1688	0	735.313410	314	196	0.415504	61.616037469
	1689	0	736.648089	314	196	0.415074	61.662395581
	1690	0	734.680663	314	196	0.415905	61.688227433
	1691	0	736.026388	314	196	0.414908	61.719982882
	1692	0	734.746486	314	196	0.415769	61.753916936
	1693	0	736.673167	314	196	0.417083	61.783754522
	1694	0	737.259302	314	196	0.415996	61.814549885
	1695	0	736.142127	314	196	0.416849	61.861736075
	1696	0	733.144515	314	196	0.415011	61.893856203
	1697	0	730.507358	314	196	0.416572	61.922300636
	1698	0	731.019588	314	196	0.415865	61.956286322
	1699	0	729.501690	314	196	0.415325	61.990084991
	1700	0	731.400274	314	196	0.415509	62.025404778
	1701	0	732.067566	314	196	0.415254	62.060935389
	1702	0	730.947063	314	196	0.415637	62.094033927
	1703	0	729.726144	314	196	0.416462	62.128380365
	1704	0	729.525400	314	196	0.416400	62.156238224
	1705	0	736.851613	314	196	0.414031	62.188595774
	1706	0	737.756431	314	196	0.413742	62.229909713
	1707	0	736.981487	314	196	0.413975	62.263546865
	1708	0	734.769956	314	196	0.415035	62.298405499
	1709	0	738.563870	314	196	0.411696	62.331954269
	1710	0	737.895757	314	196	0.412271	62.360311040
	1711	0	736.791355	314	196	0.412974	62.402201572
	1712	0	738.685179	314	196	0.412061	62.430208203
	1713	0	738.085467	314	196	0.412777	62.456607001
	1714	0	736.677844	314	196	0.413177	62.506689604
	1715	0	735.437030	314	196	0.414501	62.535628004
	1716	0	735.756433	314	196	0.414782	62.559392049
	1717	0	734.940911	314	196	0.415343	62.600219239
	1718	0	734.186742	314	196	0.415490	62.628989949
	1719	0	734.442204	314	196	0.415244	62.671144137
	1720	0	735.237379	314	196	0.414057	62.705273616
	1721	0	736.242493	314	196	0.413195	62.729213349
	1722	0	736.460684	314	196	0.413109	62.776636945
	1723	0	736.081371	314	196	0.413057	62.810074770
	1724	0	735.685121	314	196	0.413646	62.839173761
	1725	0	743.677058	314	196	0.418523	62.880642722
	1726	0	741.060861	314	196	0.419365	62.910820259
	1727	0	741.549280	314	196	0.417072	62.945068425
	1728	0	743.263830	314	196	0.417403	62.975916688
	1729	0	743.306717	314	196	0.418077	63.007490235
	1730	0	743.863075	314	196	0.418242	63.049923996
	1731	0	743.077078	314	196	0.417794	63.076172949
	1732	0	744.845038	314	196	0.416999	63.111565137
	1733	0	744.944253	314	196	0.417230	63.149036301
	1734	0	743.960596	314	196	0.417887	63.186881436
	1735	0	742.835518	314	196	0.418584	63.215202641
	1736	0	740.556070	314	196	0.420284	63.248510228
	1737	0	741.180261	314	196	0.420046	63.281819125
	1738	0	740.762552	314	196	0.420506	63.320454320
	1739	0	741.983651	314	196	0.419889	63.349400840
	1740	0	743.592685	314	196	0.419354	63.383370697
	1741	0	743.518284	314	196	0.418990	63.421818184
	1742	0	746.572149	314	196	0.417200	63.448976881
	1743	0	744.506257	314	196	0.417709	63.477834595
	1744	0	744.760598	314	196	0.416581	63.518446541
	1745	0	743.686391	314	196	0.418722	63.549096476
	1746	0	743.021382	314	196	0.418376	63.593345141
	1747	0	742.924319	314	196	0.418340	63.620710441
	1748	0	742.245580	314	196	0.418103	63.656250252
	1749	0	742.197640	314	196	0.418333	63.689609407
	1750	0	741.828264	314	196	0.418657	63.723305575
	1751	0	744.854975	314	196	0.417358	63.755254732
	1752	0	744.836879	314	196	0.417980	63.797402937
	1753	0	744.466968	314	196	0.418836	63.822626103
	1754	0	741.714367	314	196	0.411906	63.856750560
	1755	0	741.050726	314	196	0.411922	63.894339131
	1756	0	739.932767	314	196	0.412381	63.931640037
	1757	0	737.456962	314	196	0.413666	63.962222433
	1758	0	736.025716	314	196	0.414367	63.997481851
	1759	0	737.041074	314	196	0.414790	64.028365261
	1760	0	736.296355	314	196	0.414960	64.065564058
	1761	0	736.602383	314	196	0.415569	64.096533144
	1762	0	736.649503	314	196	0.415145	64.122529637
	1763	0	735.423312	314	196	0.415521	64.167353948
	1764	0	735.876950	314	196	0.415044	64.204003428
	1765	0	735.418642	314	196	0.415933	64.239025990
	1766	0	735.611031	314	196	0.415097	64.267143046
	1767	0	736.117094	314	196	0.415061	64.303067200
	1768	0	735.971494	314	196	0.415251	64.335795451
	1769	0	739.571874	314	196	0.412878	64.365850581
	1770	0	736.980310	314	196	0.414991	64.397449879
	1771	0	737.459487	314	196	0.414940	64.437713263
	1772	0	736.913630	314	196	0.414428	64.469921350
	1773	0	737.923916	314	196	0.413245	64.498882438
	1774	0	738.456497	314	196	0.413184	64.539639689
	1775	0	738.087461	314	196	0.413644	64.577766896
	1776	0	738.154879	314	196	0.413522	64.617708694
	1777	0	738.412116	314	196	0.412894	64.644176145
	1778	0	738.219682	314	196	0.413371	64.672373414
	1779	0	739.060055	314	196	0.413053	64.710291416
	1780	0	737.933961	314	196	0.413184	64.742113374
	1781	0	737.975426	314	196	0.412459	64.774794788
	1782	0	739.034916	314	196	0.411871	64.814800625
	1783	0	736.149669	314	196	0.417996	64.856832433
	1784	0	733.794827	314	196	0.418641	64.881270069
	1785	0	734.067936	314	196	0.417833	64.911874197
	1786	0	733.528683	314	196	0.418403	64.939407005
	1787	0	736.100629	314	196	0.417040	64.986433032
	1788	0	734.775192	314	196	0.417970	65.019502191
	1789	0	731.906425	314	196	0.419443	65.050185117
	1790	0	733.691370	314	196	0.418643	65.081762374
	1791	0	732.812714	314	196	0.418872	65.121448075
	1792	0	734.047012	314	196	0.418105	65.146048868
	1793	0	733.742224	314	196	0.418562	65.183742659
	1794	0	734.581675	314	196	0.418219	65.214151192
	1795	0	731.413930	314	196	0.418844	65.455218728
	1796	0	730.316296	314	196	0.419861	65.489488439
	1797	0	732.497889	314	196	0.417158	65.524264465
	1798	0	733.208348	314	196	0.417292	65.563632069
	1799	0	732.492269	314	196	0.418155	65.590480835
	1800	0	733.144141	314	196	0.418095	65.623076597
	1801	0	732.645607	314	196	0.418027	65.660980217
	1802	0	734.430286	314	196	0.416186	65.693796843
	1803	0	733.541853	314	196	0.416422	65.728325930
	1804	0	734.533352	314	196	0.415433	65.757971064
	1805	0	736.372037	314	196	0.414630	65.789865278
	1806	0	738.987065	314	196	0.413628	65.827492331
	1807	0	737.641602	314	196	0.415333	67.355584012
	1808	0	737.641602	314	196	0.415333	67.399953144
	1809	0	736.818166	314	196	0.416495	67.422807899
	1810	0	736.818166	314	196	0.416495	67.468544897
	1811	0	734.817472	314	196	0.415886	67.494300377
	1812	0	734.817472	314	196	0.415886	67.530292145
	1813	0	736.850226	314	196	0.415446	67.565015419
	1814	0	736.850226	314	196	0.415446	67.591864685
	1815	0	735.336427	314	196	0.413556	67.628415155
	1816	0	735.336427	314	196	0.413556	67.672231517
	1817	0	736.917133	314	196	0.414004	67.696155006
	1818	0	736.917133	314	196	0.414004	67.722075662
	1819	0	737.516687	314	196	0.414606	67.765045022
	1820	0	742.135169	314	196	0.409962	67.809116193
	1821	0	743.315166	314	196	0.409664	67.834205808
	1822	0	742.685982	314	196	0.409493	67.866122030
	1823	0	742.665849	314	196	0.409546	67.900058451
	1824	0	743.446854	314	196	0.409106	67.942965094
	1825	0	742.379794	314	196	0.409864	67.965242816
	1826	0	742.030652	314	196	0.410093	67.997482580
	1827	0	742.262544	314	196	0.409747	68.039986404
	1828	0	743.561657	314	196	0.409131	68.072165016
	1829	0	743.197760	314	196	0.408755	68.106410683
	1830	0	743.296369	314	196	0.409347	68.139114264
	1831	0	741.936620	314	196	0.409785	68.167186639
	1832	0	739.800246	314	196	0.410871	68.212472638
	1833	0	741.055240	314	196	0.410237	68.238341826
	1834	0	742.809445	314	196	0.409070	68.262865195
	1835	0	743.514039	314	196	0.408917	68.308756005
	1836	0	740.116405	314	196	0.409596	68.341789999
	1837	0	740.953307	314	196	0.409165	68.371072738
	1838	0	739.741429	314	196	0.409491	68.412784028
	1839	0	739.159767	314	196	0.410011	68.446507105
	1840	0	738.947888	314	196	0.410573	68.487918648
	1841	0	739.924327	314	196	0.410542	68.516022045
	1842	0	740.518190	314	196	0.410320	68.549388544
	1843	0	740.569092	314	196	0.410555	68.585037730
	1844	0	743.557179	314	196	0.410146	68.616785111
	1845	0	744.027185	314	196	0.409313	68.654073576
	1846	0	743.953047	314	196	0.410125	68.688426993
	1847	0	744.496396	314	196	0.409934	68.718425241
	1848	0	742.113639	314	196	0.411149	68.755524689
	1849	0	734.900213	314	196	0.418674	68.790321505
	1850	0	734.273770	314	196	0.419414	68.816657275
	1851	0	732.929187	314	196	0.419761	68.860572914
	1852	0	732.416963	314	196	0.418732	68.887333858
	1853	0	731.902564	314	196	0.419613	68.921457253
	1854	0	732.449257	314	196	0.419454	68.955582682
	1855	0	731.755798	314	196	0.419439	68.988218173
	1856	0	731.490393	314	196	0.419987	69.015140333
	1857	0	731.449342	314	196	0.420399	69.053355991
	1858	0	730.294607	314	196	0.420075	69.080651667
	1859	0	731.999558	314	196	0.419518	69.124588690
	1860	0	732.628131	314	196	0.419740	69.158596298
	1861	0	733.411909	314	196	0.419556	69.191668126
	1862	0	731.875824	314	196	0.420348	69.224898346
	1863	0	731.903742	314	196	0.419508	69.259941464
	1864	0	730.048431	314	196	0.419446	69.283433704
	1865	0	731.328202	314	196	0.418621	69.326295637
	1866	0	731.084359	314	196	0.419134	69.361817386
	1867	0	732.466769	314	196	0.419041	69.401709177
	1868	0	730.469567	314	196	0.419672	69.426351165
	1869	0	731.678126	314	196	0.419130	69.461468169
	1870	0	730.840702	314	196	0.420159	69.499546235
	1871	0	731.957524	314	196	0.418883	69.532149794
	1872	0	732.894702	314	196	0.419227	69.558386184
	1873	0	734.599208	314	196	0.418833	69.598729327
	1874	0	734.742978	314	196	0.418376	69.625156480
	1875	0	734.935302	314	196	0.418681	69.662906117
	1876	0	734.830244	314	196	0.418499	69.702104883
	1877	0	734.767123	314	196	0.418097	69.733250457
	1878	0	740.385529	314	196	0.414513	69.774921445
	1879	0	737.644585	314	196	0.414509	69.806669117
	1880	0	737.172874	314	196	0.414431	69.837078069
	1881	0	738.108728	314	196	0.415318	69.872615684
	1882	0	737.702092	314	196	0.415490	69.898485046
	1883	0	736.321001	314	196	0.415716	69.930102839
	1884	0	737.513194	314	196	0.414733	69.976030397
	1885	0	735.938510	314	196	0.415771	70.007920099
	1886	0	736.785766	314	196	0.414943	70.043693830
	1887	0	740.854901	314	196	0.413577	70.074805709
	1888	0	740.294694	314	196	0.413210	70.110088590
	1889	0	739.810289	314	196	0.413588	70.146624628
	1890	0	738.202758	314	196	0.414407	70.172764213
	1891	0	737.445640	314	196	0.415049	70.198537690
	1892	0	735.280548	314	196	0.414316	70.247768514
	1893	0	736.226261	314	196	0.414545	70.279552058
	1894	0	735.991622	314	196	0.414483	70.305059513
	1895	0	735.898923	314	196	0.414454	70.349078098
	1896	0	734.922738	314	196	0.414756	70.383315052
	1897	0	736.471132	314	196	0.414476	70.417348021
	1898	0	737.800379	314	196	0.413925	70.447652427
	1899	0	740.434439	314	196	0.412829	70.476355794
	1900	0	743.465616	314	196	0.410760	70.519447296
	1901	0	744.022047	314	196	0.410624	70.557867851
	1902	0	740.600358	314	196	0.411854	70.586072201
	1903	0	739.959230	314	196	0.412962	70.615513457
	1904	0	741.947767	314	196	0.412048	70.650206925
	1905	0	742.365301	314	196	0.412238	70.691590156
	1906	0	740.950674	314	196	0.412019	70.719390683
	1907	0	740.015333	314	196	0.415562	70.758068133
	1908	0	739.400301	314	196	0.415801	70.791715069
	1909	0	740.296721	314	196	0.415062	70.823092174
	1910	0	742.575149	314	196	0.414176	70.858031945
	1911	0	740.517054	314	196	0.414695	70.891210649
	1912	0	740.007403	314	196	0.414379	70.926974658
	1913	0	740.670682	314	196	0.413985	70.954346981
	1914	0	739.569893	314	196	0.413904	70.991115482
	1915	0	738.253235	314	196	0.416068	71.022405084
	1916	0	739.000177	314	196	0.415145	71.068436566
	1917	0	739.266683	314	196	0.414891	71.092334123
	1918	0	738.632624	314	196	0.415577	71.125567020
	1919	0	738.708456	314	196	0.415722	71.162679740
	1920	0	738.849224	314	196	0.414750	71.198033774
	1921	0	739.341244	314	196	0.414684	71.227607617
	1922	0	739.457105	314	196	0.414710	71.265573140
	1923	0	741.731429	314	196	0.413359	71.299092485
	1924	0	741.222873	314	196	0.414268	71.325252660
	1925	0	740.033071	314	196	0.414225	71.365711155
	1926	0	740.102687	314	196	0.415332	71.396293743
	1927	0	739.969616	314	196	0.414420	71.432701395
	1928	0	738.655448	314	196	0.415080	71.471558734
	1929	0	736.730620	314	196	0.416454	71.502446839
	1930	0	735.875395	314	196	0.416160	71.536583676
	1931	0	734.381174	314	196	0.417066	71.563885642
	1932	0	735.179407	314	196	0.417242	71.594589202
	1933	0	736.280992	314	196	0.417008	71.637251544
	1934	0	735.846528	314	196	0.416924	71.670705737
	1935	0	737.153338	314	196	0.416109	71.705063828
	1936	0	738.863722	314	196	0.417261	71.751604670
	1937	0	739.846778	314	196	0.416775	71.777961879
	1938	0	738.723143	314	196	0.416362	71.812345563
	1939	0	739.429011	314	196	0.416326	71.839097838
	1940	0	737.225291	314	196	0.418050	71.862791501
	1941	0	737.907002	314	196	0.417177	71.909970239
	1942	0	736.536042	314	196	0.418292	71.938291031
	1943	0	734.200046	314	196	0.419224	71.970285383
	1944	0	734.384917	314	196	0.418436	72.007618546
	1945	0	737.873558	314	196	0.417608	72.043718577
	1946	0	737.105053	314	196	0.416982	72.084060119
	1947	0	735.779520	314	196	0.417652	72.115873799
	1948	0	735.837944	314	196	0.418273	72.140895021
	1949	0	739.752811	314	196	0.415101	72.186061568
	1950	0	740.261793	314	196	0.414086	72.218768415
	1951	0	738.633373	314	196	0.415601	72.249580417
	1952	0	739.262315	314	196	0.415325	72.285182587
	1953	0	740.359800	314	196	0.414911	72.316060217
	1954	0	740.705733	314	196	0.415165	72.350365563
	1955	0	741.033614	314	196	0.415457	72.379911444
	1956	0	739.034542	314	196	0.416005	72.410314485
	1957	0	737.445092	314	196	0.416142	72.456875505
	1958	0	737.053892	314	196	0.416436	72.488290566
	1959	0	735.787798	314	196	0.417653	72.514224318
	1960	0	737.725056	314	196	0.416804	72.562298086
	1961	0	738.623289	314	196	0.415876	72.594787349
	1962	0	737.387437	314	196	0.416104	72.620781780
	1963	0	739.600900	314	196	0.414923	72.655728374
	1964	0	737.676396	314	196	0.415522	72.679671121
	1965	0	740.950639	314	196	0.414153	72.732867881
	1966	0	737.848085	314	196	0.415626	72.761486853
	1967	0	739.116853	314	196	0.414392	72.796879070
	1968	0	741.025563	314	196	0.412951	72.830661937
	1969	0	739.100934	314	196	0.413649	72.859076680
	1970	0	737.166940	314	196	0.415096	72.895976120
	1971	0	737.444147	314	196	0.415045	72.924822534
	1972	0	737.661203	314	196	0.414326	72.956540769
	1973	0	737.393534	314	196	0.414607	72.998904113
	1974	0	736.830460	314	196	0.414975	73.027739655
	1975	0	737.927950	314	196	0.414196	73.071138723
	1976	0	739.403480	314	196	0.412945	73.099951092
	1977	0	739.580763	314	196	0.413384	73.136196025
	1978	0	739.750576	314	196	0.413600	73.172536567
	1979	0	738.563721	314	196	0.413412	73.205171798
	1980	0	737.107051	314	196	0.414174	73.231200279
	1981	0	739.873046	314	196	0.412633	73.255641205
	1982	0	737.976205	314	196	0.414728	73.302030175
